Affiliation,K2_count,Kepler_count,CarnegieClass
University of California at Santa Cruz,,2,15.0
Institut d'astrophysique de Paris,,2,-2.0
University of Catania,,2,-2.0
University of Central Florida,,2,15.0
Blvd de l'Observatoire,,2,-2.0
Université de Sherbrooke,,2,-2.0
Bloomsburg University,,2,-2.0
Joint Institute for Nuclear Research,,2,-2.0
BioCircuits Institute (formerly Institute for Nonlinear Science),,2,-2.0
Institut für Astronomie &amp,,2,-2.0
Astronomical Institute (v. v. i.),,2,-2.0
Université de Paris,,2,-2.0
University of Connecticut,,2,15.0
Karl-Franzens University of Graz,,2,-2.0
Big Sandy Community and Technical College,,2,4.0
Astronomical Institute of the Czech Academy of Sciences,,2,-2.0
Kiepenheuer Institut für Sonnenphysik,,2,-2.0
Kwasan and Hida Observatory,,2,-2.0
University of Graz,,2,-2.0
University of Nebraska-Kearney,,2,18.0
3550 rue University,,2,-2.0
Astronomical Observatory of the Jagiellonian University,,2,-2.0
Université Paris XI-CNRS (UMR8617),,2,-2.0
University of Hong Kong,,2,-2.0
Auburn University,,2,15.0
Astrophysikalisches Institut und Universitäts-Sternwarte,,2,-2.0
Universitätstrasse 16,,2,-2.0
University of Kansas,,2,15.0
2 rue de l'Observatoire,,2,-2.0
Bowling Green State University-Main Campus,,2,16.0
1541 E. University Blvd,,2,-2.0
Institute for Astrophysics Göttingen,,2,-2.0
Universitetskii pr.,,2,-2.0
Macquarie University,,2,-2.0
University of the Pacific,,2,17.0
Institute for Solar-Terrestrial Physics,,2,-2.0
University of Toronto Scarborough,,2,-2.0
University of the North-West,,2,-2.0
University of Zürich,,2,-2.0
University of Toronto at Scarborough,,2,-2.0
University of Tübingen,,2,-2.0
Mailcode 350-17 California Institute of Technology,,2,-2.0
and Copernicus Astronomical Center,,2,-2.0
Mani L. Bhaumik Institute for oretical Physics,,2,-2.0
Albert Einstein Institute,,2,-2.0
Universidade de Lisboa,,2,-2.0
Instituto de Geociências e Ciências Exatas,,2,-2.0
University of Toronto (Canada),,2,-2.0
Instituto de Astrofísica de La Plata,,2,-2.0
CEA/DRF-CNRS-Université Paris Diderot,,2,-2.0
University of Aarhus,,2,-2.0
LomonosovMoscow State University,,2,-2.0
1 University Station C1400,,2,-2.0
Università di Pisa,,2,-2.0
